id,identifiant_si,application,role,date_attribution,date_revocation
1,SI_MAT0001,SI_PAIE,consultant,2018-05-16 00:00:00.000000,
2,SI_MAT0002,PORTAIL_RH,gestionnaire,2015-09-27 00:00:00.000000,
3,SI_MAT0002,SEMAFORE,administrateur,2015-11-02 00:00:00.000000,
4,SI_MAT0003,SEMAFORE,lecture,2016-07-20 00:00:00.000000,
5,SI_MAT0003,PORTAIL_RH,administrateur,2016-09-26 00:00:00.000000,
6,SI_MAT0004,PORTAIL_RH,administrateur,2021-08-23 00:00:00.000000,
7,SI_MAT0005,SEMAFORE,administrateur,2018-06-21 00:00:00.000000,
8,SI_MAT0005,PORTAIL_RH,consultant,2018-06-15 00:00:00.000000,
9,SI_MAT0006,SI_PAIE,administrateur,2016-09-09 00:00:00.000000,
10,SI_MAT0006,ANNUAIRE_AD,consultant,2016-11-16 00:00:00.000000,
11,SI_MAT0006,ANNUAIRE_AD,lecture,2016-08-17 00:00:00.000000,
12,SI_MAT0007,ANNUAIRE_AD,administrateur,2024-11-14 00:00:00.000000,
13,SI_MAT0007,SI_PAIE,lecture,2025-01-17 00:00:00.000000,
14,SI_MAT0008,SEMAFORE,consultant,2016-01-17 00:00:00.000000,
15,SI_MAT0008,SI_PAIE,gestionnaire,2015-12-16 00:00:00.000000,
16,SI_MAT0008,PORTAIL_RH,administrateur,2015-12-23 00:00:00.000000,
17,SI_MAT0009,PORTAIL_RH,gestionnaire,2017-06-17 00:00:00.000000,
18,SI_MAT0009,ANNUAIRE_AD,lecture,2017-05-25 00:00:00.000000,
19,SI_MAT0009,ANNUAIRE_AD,lecture,2017-06-05 00:00:00.000000,
20,SI_MAT0010,SEMAFORE,consultant,2022-10-16 00:00:00.000000,
21,SI_MAT0010,SEMAFORE,gestionnaire,2022-10-29 00:00:00.000000,
22,SI_MAT0010,SEMAFORE,consultant,2022-11-07 00:00:00.000000,
23,SI_MAT0011,ANNUAIRE_AD,consultant,2015-06-06 00:00:00.000000,
24,SI_MAT0011,SEMAFORE,consultant,2015-05-25 00:00:00.000000,
25,SI_MAT0011,SEMAFORE,administrateur,2015-03-20 00:00:00.000000,
26,SI_MAT0012,SI_PAIE,consultant,2015-03-04 00:00:00.000000,
27,SI_MAT0012,SI_PAIE,gestionnaire,2015-05-09 00:00:00.000000,
28,SI_MAT0012,SI_PAIE,lecture,2015-05-30 00:00:00.000000,
